municipio,link_portal_transp,link_prefeitura,observacoes,fornecedor,tipo_fornecer,Fornecedor: Gestões Anteriores,,,,,,,,,,,
Logradouro,http://transparencia.logradouro.pb.gov.br/,http://www.logradouro.pb.gov.br/,,Alfa Consultoria / Elmar Tecnologia,Múltiplos,N/A,,,,,,,,,,,
Lucena,http://www.lucena.pb.gov.br/transparencia/,http://www.lucena.pb.gov.br/,,e-TICons,Único,N/A,,,,,,,,,,,
Mãe d'Água,http://portaldatransparencia.publicsoft.com.br/sistemas/ContabilidadePublica/views/views_control/index.php?cidade=MY4=&uf=PB,http://www.maedagua.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Malta,http://malta.pb.gov.br/assuntos/portal-da-transparencia,http://malta.pb.gov.br/,Só é possível acessar dados de 2017,EasyWeb / e-TICons,Múltiplos,N/A,,,,,,,,,,,
Mamanguape,http://transparencia.mamanguape.pb.gov.br/,http://www.mamanguape.pb.gov.br/,,Alfa Consultoria / Publicsoft,Múltiplos,Aspec Informática,**Levar em consideração site prefeitura,,,,,,,,,,
Manaíra,http://transparencia.elmar.inf.br/?e=201111,http://manaira.pb.gov.br/,,Elmar Tecnologia,Único,N/A,,,,,,,,,,,
Marcação,http://transparencia.marcacao.pb.gov.br/,http://www.marcacao.pb.gov.br/,,Alfa Consultoria,Único,N/A,,,,,,,,,,,
Mari,http://transparencia.mari.pb.gov.br/,https://www.mari.pb.gov.br/,,Info Public,Único,N/A,,,,,,,,,,,
Marizópolis,http://www.marizopolis.pb.gov.br/portal-da-transparencia.html,http://www.marizopolis.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Massaranduba,http://www.massaranduba.pb.gov.br/transparencia,http://massaranduba.pb.gov.br/,,IMAP,Único,N/A,,,,,,,,,,,
Mataraca,http://www.mataraca.pb.gov.br/portal-da-transparencia/,http://www.mataraca.pb.gov.br/,,Publicsoft,Único,Aspec Informática,,,,,,,,,,,
Matinhas,http://portaldatransparencia.publicsoft.com.br/sistemas/ContabilidadePublica/accessdirect.php?link=NbA=,http://www.matinhas.pb.gov.br/,,Publicsoft,Único,N/A,,,,,,,,,,,
Mato Grosso,http://matogrosso.pb.gov.br/,http://matogrosso.pb.gov.br/,A parte referente ao Portal da Transparência está inserida no portal da prefeitura,DC Soluções / Elmar Tecnologia,Múltiplos,N/A,,,,,,,,,,,
