municipio,aproach,date,total_itens,tp_total,fn_total,fp_total,recall,precision,f1_score,median_duration_min,median_duration,max_duration,max_durationMin,median_num_access_node,max_num_access_node,all_access_node,combination,tipo_exp
Quixaba,bfs,2019-12-11T23:01:20Z,48,42,2,1,0.9545454545454546,0.9767441860465116,0.9655172413793104,52,3139803,4205435,70,28,29,1116,EasyWeb / Publicsoft,less_itens
Remígio,bandit,2019-12-11T00:01:05Z,48,23,24,1,0.48936170212765956,0.9583333333333334,0.6478873239436619,34,2042527,2285824,38,36,42,1346,Portal Próprio / Publicsoft,less_itens
Remígio,bandit,2019-12-12T16:14:07Z,48,43,4,1,0.9148936170212766,0.9772727272727273,0.945054945054945,18,1084669,1806018,30,20,43,998,Portal Próprio / Publicsoft,less_itens
Remígio,bfs,2019-12-10T22:30:46Z,48,46,1,1,0.9787234042553191,0.9787234042553191,0.9787234042553191,11,668963,1265827,21,16,35,782,Portal Próprio / Publicsoft,less_itens
Remígio,bfs,2019-12-11T22:54:44Z,48,46,1,1,0.9787234042553191,0.9787234042553191,0.9787234042553191,11,663610,1247337,21,16,35,782,Portal Próprio / Publicsoft,less_itens
Santa Cecília,bandit,2019-12-10T23:22:11Z,48,41,4,3,0.9111111111111111,0.9318181818181818,0.9213483146067416,22,1293519,2332833,39,16,23,733,Publicsoft,less_itens
Santa Cecília,bandit,2019-12-12T15:37:06Z,48,44,1,3,0.9777777777777777,0.9361702127659575,0.9565217391304347,11,677459,2220160,37,8,19,520,Publicsoft,less_itens
Santa Cecília,bfs,2019-12-10T21:53:41Z,48,44,1,3,0.9777777777777777,0.9361702127659575,0.9565217391304347,20,1188885,2223251,37,15,18,681,Publicsoft,less_itens
Santa Cecília,bfs,2019-12-11T22:24:11Z,48,44,1,3,0.9777777777777777,0.9361702127659575,0.9565217391304347,20,1185213,2227940,37,15,18,681,Publicsoft,less_itens
Santa Rita,bandit,2019-12-10T21:16:35Z,48,32,13,3,0.7111111111111111,0.9142857142857143,0.8,28,1707643,7534739,126,46,98,1616,e-TICons / Info Public,less_itens
Santa Rita,bfs,2019-12-10T21:16:40Z,48,33,12,3,0.7333333333333333,0.9166666666666666,0.8148148148148148,26,1560068,2220219,37,43,53,1412,e-TICons / Info Public,less_itens
Santa Rita,bfs,2019-12-11T19:07:34Z,48,33,12,3,0.7333333333333333,0.9166666666666666,0.8148148148148148,32,1901182,7711831,129,47,103,1636,e-TICons / Info Public,less_itens
Serra Grande,bandit,2019-12-10T22:43:53Z,48,40,5,1,0.8888888888888888,0.975609756097561,0.9302325581395349,46,2766940,12393997,207,12,44,729,EasyWeb / Publicsoft,less_itens
Serra Grande,bandit,2019-12-12T13:14:42Z,48,43,3,1,0.9347826086956522,0.9772727272727273,0.9555555555555557,73,4364069,16905011,282,16,50,871,EasyWeb / Publicsoft,less_itens
Serra Grande,bfs,2019-12-10T21:33:37Z,48,32,15,0,0.6808510638297872,1,0.810126582278481,72,4309567,6112738,102,17,29,806,EasyWeb / Publicsoft,less_itens
Serra Grande,bfs,2019-12-11T21:16:07Z,48,43,2,1,0.9555555555555556,0.9772727272727273,0.9662921348314608,76,4546708,5916127,99,20,29,1040,EasyWeb / Publicsoft,less_itens
Serraria,bandit,2019-12-10T21:08:57Z,48,27,21,0,0.5625,1,0.72,25,1479570,5694497,95,16,30,843,Alfa Consultoria / Elmar Tecnologia,less_itens
Serraria,bandit,2019-12-12T12:48:06Z,48,27,21,0,0.5625,1,0.72,16,972195,1444083,24,16,29,777,Alfa Consultoria / Elmar Tecnologia,less_itens
Serraria,bfs,2019-12-10T21:09:09Z,48,27,21,0,0.5625,1,0.72,17,1035031,1466605,24,16,30,788,Alfa Consultoria / Elmar Tecnologia,less_itens
Serraria,bfs,2019-12-11T18:42:53Z,48,27,21,0,0.5625,1,0.72,18,1051455,1480152,25,16,30,788,Alfa Consultoria / Elmar Tecnologia,less_itens
Umbuzeiro,bandit,2019-12-10T21:08:57Z,48,29,6,8,0.8285714285714286,0.7837837837837838,0.8055555555555555,3,157920,456890,8,11,22,703,Info Public,less_itens
Umbuzeiro,bandit,2019-12-12T12:38:12Z,48,29,6,8,0.8285714285714286,0.7837837837837838,0.8055555555555555,5,275283,593363,10,14,23,727,Info Public,less_itens
Umbuzeiro,bfs,2019-12-10T21:09:09Z,48,29,6,8,0.8285714285714286,0.7837837837837838,0.8055555555555555,3,160006,449557,7,11,22,691,Info Public,less_itens
Umbuzeiro,bfs,2019-12-11T18:35:32Z,48,29,6,8,0.8285714285714286,0.7837837837837838,0.8055555555555555,2,145688,439413,7,11,22,691,Info Public,less_itens
