municipio,aproach,date,total_itens,tp_total,fn_total,fp_total,recall,precision,f1_score,median_duration_min,median_duration,max_duration,max_durationMin,median_num_access_node,mean_num_access_node,max_num_access_node,all_access_node,combination,tipo_exp
Bayeux,Dfs,2019-12-05T13:03:46Z,61,45,12,4,0.7894736842105263,0.9183673469387755,0.8490566037735849,41,2468595,8602666,143,53,54.67213114754098,129,3335,e-TICons,all_itens
Bayeux,Dfs,2019-12-10T03:31:32Z,61,41,16,4,0.7192982456140351,0.9111111111111111,0.803921568627451,64,3837652,4642858,77,68,50.90163934426229,77,3105,e-TICons,all_itens
Bayeux,Epsilon-greedy,2019-11-11T06:11:21Z,61,43,14,4,0.7543859649122807,0.9148936170212766,0.8269230769230769,17,1040770,3616637,60,16,19.770491803278688,52,1206,e-TICons,all_itens
Bayeux,Epsilon-greedy,2019-11-28T23:22:46Z,61,49,7,5,0.875,0.9074074074074074,0.8909090909090909,37,2210121,6227353,104,46,43.77049180327869,107,2670,e-TICons,all_itens
Bayeux,Epsilon-greedy,2019-12-04T03:29:05Z,61,51,5,5,0.9107142857142857,0.9107142857142857,0.9107142857142857,17,1023746,7242797,121,16,32.81967213114754,113,2002,e-TICons,all_itens
Bayeux,Epsilon-greedy,2019-12-09T21:16:22Z,61,51,6,4,0.8947368421052632,0.9272727272727272,0.9107142857142856,20,1177496,6485848,108,21,38.18032786885246,104,2329,e-TICons,all_itens
Belém do Brejo do Cruz,Bfs,2019-11-09T00:10:37Z,61,56,3,2,0.9491525423728814,0.9655172413793104,0.9572649572649573,26,1576025,1930901,32,9,12.278688524590164,17,749,Publicsoft,all_itens
Belém do Brejo do Cruz,Bfs,2019-11-28T05:16:09Z,61,56,3,2,0.9491525423728814,0.9655172413793104,0.9572649572649573,17,1016900,1145523,19,17,15.540983606557377,19,948,Publicsoft,all_itens
Belém do Brejo do Cruz,Bfs,2019-12-10T01:20:24Z,61,56,3,2,0.9491525423728814,0.9655172413793104,0.9572649572649573,28,1685547,2345220,39,17,15.540983606557377,19,948,Publicsoft,all_itens
Belém do Brejo do Cruz,Dfs,2019-11-13T00:38:02Z,61,56,2,3,0.9655172413793104,0.9491525423728814,0.9572649572649573,26,1547195,4052625,68,9,12.819672131147541,26,782,Publicsoft,all_itens
Belém do Brejo do Cruz,Dfs,2019-12-03T00:30:13Z,61,56,2,3,0.9655172413793104,0.9491525423728814,0.9572649572649573,33,2005299,3591023,60,18,16.39344262295082,24,1000,Publicsoft,all_itens
Belém do Brejo do Cruz,Dfs,2019-12-05T13:35:07Z,61,56,2,3,0.9655172413793104,0.9491525423728814,0.9572649572649573,30,1781061,3388024,56,18,16.39344262295082,24,1000,Publicsoft,all_itens
Belém do Brejo do Cruz,Dfs,2019-12-10T04:48:56Z,61,56,2,3,0.9655172413793104,0.9491525423728814,0.9572649572649573,30,1788341,3405141,57,18,16.39344262295082,24,1000,Publicsoft,all_itens
Belém do Brejo do Cruz,Epsilon-greedy,2019-11-11T06:09:52Z,61,56,3,2,0.9491525423728814,0.9655172413793104,0.9572649572649573,26,1563699,2722476,45,9,12.573770491803279,21,767,Publicsoft,all_itens
Belém do Brejo do Cruz,Epsilon-greedy,2019-11-19T03:30:36Z,61,56,3,2,0.9491525423728814,0.9655172413793104,0.9572649572649573,28,1660842,2022031,34,9,11.39344262295082,17,695,Publicsoft,all_itens
Belém do Brejo do Cruz,Epsilon-greedy,2019-12-04T04:02:36Z,61,56,2,3,0.9655172413793104,0.9491525423728814,0.9572649572649573,30,1820492,2293270,38,18,15.655737704918034,18,955,Publicsoft,all_itens
Belém do Brejo do Cruz,Epsilon-greedy,2019-12-09T23:04:31Z,61,53,6,2,0.8983050847457628,0.9636363636363636,0.9298245614035089,28,1686517,3166651,53,17,16.016393442622952,24,977,Publicsoft,all_itens
Bom Jesus,Bfs,2019-11-09T00:10:40Z,61,50,9,2,0.847457627118644,0.9615384615384616,0.9009009009009009,17,1039751,9728544,162,16,26.65573770491803,89,1626,Elmar Tecnologia,all_itens
Bom Jesus,Bfs,2019-11-28T02:58:43Z,61,53,6,2,0.8983050847457628,0.9636363636363636,0.9298245614035089,16,950754,5036851,84,25,60.16393442622951,122,3670,Elmar Tecnologia,all_itens
Bom Jesus,Bfs,2019-12-11T00:13:03Z,61,53,6,2,0.8983050847457628,0.9636363636363636,0.9298245614035089,19,1158687,14443320,241,24,57.98360655737705,163,3537,Elmar Tecnologia,all_itens
Bom Jesus,Dfs,2019-11-13T03:46:30Z,61,50,9,2,0.847457627118644,0.9615384615384616,0.9009009009009009,19,1115001,10593801,177,15,28.75409836065574,95,1754,Elmar Tecnologia,all_itens
Bom Jesus,Dfs,2019-11-30T03:37:54Z,61,53,6,2,0.8983050847457628,0.9636363636363636,0.9298245614035089,22,1296977,15764969,263,24,69.0327868852459,179,4211,Elmar Tecnologia,all_itens
Bom Jesus,Dfs,2019-12-05T14:03:54Z,61,53,6,2,0.8983050847457628,0.9636363636363636,0.9298245614035089,20,1221876,15922865,265,24,69.0327868852459,179,4211,Elmar Tecnologia,all_itens
Bom Jesus,Epsilon-greedy,2019-11-11T06:11:33Z,61,50,9,2,0.847457627118644,0.9615384615384616,0.9009009009009009,17,1001991,7429995,124,16,25.80327868852459,78,1574,Elmar Tecnologia,all_itens
Bom Jesus,Epsilon-greedy,2019-11-28T23:23:18Z,61,53,6,2,0.8983050847457628,0.9636363636363636,0.9298245614035089,19,1167108,13110056,219,23,56.80327868852459,157,3465,Elmar Tecnologia,all_itens
Bom Jesus,Epsilon-greedy,2019-12-04T04:40:51Z,61,53,6,2,0.8983050847457628,0.9636363636363636,0.9298245614035089,27,1603556,8619434,144,27,58.295081967213115,131,3556,Elmar Tecnologia,all_itens
Bom Sucesso,Bfs,2019-11-06T21:36:03Z,61,46,13,2,0.7796610169491526,0.9583333333333334,0.8598130841121496,6,389511,1171143,20,6,7.180327868852459,18,438,DC Soluções,all_itens
Bom Sucesso,Bfs,2019-11-07T00:45:23Z,61,46,13,2,0.7796610169491526,0.9583333333333334,0.8598130841121496,7,393761,1083316,18,6,7.573770491803279,18,462,DC Soluções,all_itens
Bom Sucesso,Bfs,2019-11-08T01:48:49Z,61,46,13,2,0.7796610169491526,0.9583333333333334,0.8598130841121496,7,438311,1257201,21,6,7.573770491803279,18,462,DC Soluções,all_itens
Bom Sucesso,Bfs,2019-11-10T19:09:48Z,61,47,13,1,0.7833333333333333,0.9791666666666666,0.8703703703703703,7,400720,1183404,20,6,7.573770491803279,18,462,DC Soluções,all_itens
Bom Sucesso,Bfs,2019-11-26T00:09:46Z,61,50,9,2,0.847457627118644,0.9615384615384616,0.9009009009009009,7,392823,1059254,18,6,7.180327868852459,12,438,DC Soluções,all_itens
Bom Sucesso,Dfs,2019-11-26T22:27:38Z,61,50,9,2,0.847457627118644,0.9615384615384616,0.9009009009009009,8,483763,1037658,17,7,7.590163934426229,12,463,DC Soluções,all_itens
Bom Sucesso,Dfs,2019-12-03T03:59:58Z,61,50,9,2,0.847457627118644,0.9615384615384616,0.9009009009009009,5,303797,820379,14,7,7.590163934426229,12,463,DC Soluções,all_itens
Bom Sucesso,Dfs,2019-12-05T23:24:27Z,61,50,9,2,0.847457627118644,0.9615384615384616,0.9009009009009009,5,298689,880632,15,7,7.590163934426229,12,463,DC Soluções,all_itens
Bom Sucesso,Epsilon-greedy,2019-11-12T04:32:26Z,61,47,13,1,0.7833333333333333,0.9791666666666666,0.8703703703703703,6,388498,1150511,19,7,7.80327868852459,18,476,DC Soluções,all_itens
Bom Sucesso,Epsilon-greedy,2019-11-19T08:50:10Z,61,47,13,1,0.7833333333333333,0.9791666666666666,0.8703703703703703,6,386896,894560,15,6,6.737704918032787,12,411,DC Soluções,all_itens
Bom Sucesso,Epsilon-greedy,2019-12-04T00:46:36Z,61,49,10,2,0.8305084745762712,0.9607843137254902,0.890909090909091,6,358187,862599,14,7,7.590163934426229,12,463,DC Soluções,all_itens
Campina Grande,Bfs,2019-11-06T02:44:37Z,61,56,5,0,0.9180327868852459,1,0.9572649572649572,15,915670,996273,17,8,5.885245901639344,9,359,Alfa Consultoria / Publicsoft,all_itens
Campina Grande,Bfs,2019-11-09T23:00:06Z,61,57,0,4,1,0.9344262295081968,0.9661016949152543,16,958754,1509290,25,9,9.426229508196721,14,575,Alfa Consultoria / Publicsoft,all_itens
Campina Grande,Bfs,2019-12-10T22:14:52Z,61,54,3,4,0.9473684210526315,0.9310344827586207,0.9391304347826087,15,892153,3724667,62,12,16.016393442622952,33,977,Alfa Consultoria / Publicsoft,all_itens
Campina Grande,Dfs,2019-11-13T03:48:50Z,61,56,0,4,1,0.9333333333333333,0.9655172413793104,17,1019682,2047915,34,9,10.344262295081966,17,631,Alfa Consultoria / Publicsoft,all_itens
Campina Grande,Dfs,2019-12-03T06:12:44Z,61,54,3,4,0.9473684210526315,0.9310344827586207,0.9391304347826087,15,903788,4296803,72,12,19.442622950819672,45,1186,Alfa Consultoria / Publicsoft,all_itens
Campina Grande,Dfs,2019-12-05T14:31:36Z,61,52,5,4,0.9122807017543859,0.9285714285714286,0.9203539823008849,15,881794,4122078,69,12,19.081967213114755,44,1164,Alfa Consultoria / Publicsoft,all_itens
Campina Grande,Dfs,2019-12-10T05:46:02Z,61,48,12,0,0.8,1,0.888888888888889,15,890682,3556920,59,12,15.245901639344263,29,930,Alfa Consultoria / Publicsoft,all_itens
Campina Grande,Epsilon-greedy,2019-11-01T23:50:03Z,61,56,2,3,0.9655172413793104,0.9491525423728814,0.9572649572649573,14,867767,1472191,25,8,8.819672131147541,13,538,Alfa Consultoria / Publicsoft,all_itens
Campina Grande,Epsilon-greedy,2019-11-11T14:34:10Z,61,53,5,3,0.9137931034482759,0.9464285714285714,0.9298245614035087,16,969586,1578312,26,9,9.19672131147541,13,561,Alfa Consultoria / Publicsoft,all_itens
Campina Grande,Epsilon-greedy,2019-11-19T06:50:09Z,61,56,2,3,0.9655172413793104,0.9491525423728814,0.9572649572649573,16,940166,1771294,30,9,9.852459016393443,16,601,Alfa Consultoria / Publicsoft,all_itens
Campina Grande,Epsilon-greedy,2019-12-09T23:59:14Z,61,53,5,3,0.9137931034482759,0.9464285714285714,0.9298245614035087,14,839273,4139319,69,12,18.868852459016395,43,1151,Alfa Consultoria / Publicsoft,all_itens
Carrapateira,Bfs,2019-11-11T23:19:26Z,61,48,9,4,0.8421052631578947,0.9230769230769231,0.8807339449541285,16,961134,1847370,31,16,19.524590163934427,32,1191,Elmar Tecnologia,all_itens
Carrapateira,Bfs,2019-11-26T00:10:20Z,61,51,6,4,0.8947368421052632,0.9272727272727272,0.9107142857142856,21,1250510,4629809,77,22,44.0655737704918,91,2688,Elmar Tecnologia,all_itens
Carrapateira,Bfs,2019-12-10T20:46:57Z,61,51,6,4,0.8947368421052632,0.9272727272727272,0.9107142857142856,18,1066702,4374550,73,22,44.0655737704918,91,2688,Elmar Tecnologia,all_itens
Carrapateira,Dfs,2019-11-26T16:22:48Z,61,51,6,4,0.8947368421052632,0.9272727272727272,0.9107142857142856,26,1533505,10905738,182,24,65.1311475409836,137,3973,Elmar Tecnologia,all_itens
Carrapateira,Dfs,2019-11-30T03:38:30Z,61,51,6,4,0.8947368421052632,0.9272727272727272,0.9107142857142856,21,1270373,9982119,166,24,65.1311475409836,137,3973,Elmar Tecnologia,all_itens
Carrapateira,Dfs,2019-12-05T15:27:10Z,61,51,6,4,0.8947368421052632,0.9272727272727272,0.9107142857142856,21,1251116,10064241,168,24,65.1311475409836,137,3973,Elmar Tecnologia,all_itens
Carrapateira,Epsilon-greedy,2019-11-27T02:53:27Z,61,51,6,4,0.8947368421052632,0.9272727272727272,0.9107142857142856,20,1207102,7519894,125,22,53.16393442622951,111,3243,Elmar Tecnologia,all_itens
Carrapateira,Epsilon-greedy,2019-11-29T01:06:35Z,61,51,6,4,0.8947368421052632,0.9272727272727272,0.9107142857142856,18,1100026,7612888,127,23,55.34426229508197,116,3376,Elmar Tecnologia,all_itens
Carrapateira,Epsilon-greedy,2019-12-04T04:50:13Z,61,51,6,4,0.8947368421052632,0.9272727272727272,0.9107142857142856,17,1022445,6872106,115,22,51.885245901639344,111,3165,Elmar Tecnologia,all_itens
Conceição,Bfs,2019-12-06T17:01:54Z,61,23,9,4,0.71875,0.8518518518518519,0.7796610169491525,42,2541550,8551015,143,29,37.80327868852459,79,2306,EasyWeb / e-TICons,all_itens
Conceição,Bfs,2019-12-06T19:28:29Z,61,23,9,4,0.71875,0.8518518518518519,0.7796610169491525,34,2010065,8457054,141,29,36.622950819672134,79,2234,EasyWeb / e-TICons,all_itens
Conceição,Bfs,2019-12-11T00:12:24Z,61,23,9,4,0.71875,0.8518518518518519,0.7796610169491525,42,2519538,7772394,130,30,39.31147540983606,79,2398,EasyWeb / e-TICons,all_itens
